cycle,set,way,pc_sig,recency,hits,prefetch,dirty,reused,access_type,hit
1933,52,0,1869,0,0,0,0,0,3,0
1933,2,0,1869,0,28,0,0,1,0,1
1934,2,0,1869,0,29,0,0,1,0,1
1934,1589,0,1869,0,0,0,0,0,1,0
1935,565,0,1869,0,0,0,0,0,1,0
1935,53,0,1869,0,0,0,0,0,3,0
1935,53,0,1869,0,1,0,1,1,3,1
1935,2,0,1869,0,30,0,0,1,0,1
1936,53,0,1869,0,2,0,1,1,3,1
1936,2,0,1869,0,31,0,0,1,0,1
1937,53,0,1869,0,3,0,1,1,3,1
1937,2,0,1869,0,32,0,0,1,0,1
1938,53,0,1869,0,4,0,1,1,3,1
1938,2,0,1869,0,33,0,0,1,0,1
1939,53,0,1869,0,5,0,1,1,3,1
2095,79,0,1068,0,0,0,0,0,0,0
2095,15,0,1068,0,0,0,0,0,0,0
2096,110,0,2589,0,0,0,0,0,0,0
2096,14,0,2589,0,0,0,0,0,0,0
2099,1560,0,1068,0,0,0,0,0,0,0
2100,536,0,1068,0,0,0,0,0,0,0
2100,24,1,1068,0,0,0,0,0,0,0
2100,1322,0,2589,0,0,0,0,0,0,0
2101,298,0,2589,0,0,0,0,0,0,0
2101,42,2,2589,0,0,0,0,0,0,0
2105,2,0,1126,0,34,0,0,1,0,1
2106,0,0,848,0,0,0,0,0,0,0
2106,36,0,1126,0,4,0,1,1,3,1
2106,0,0,848,0,0,0,0,0,0,0
2106,2,0,1132,0,35,0,0,1,0,1
2107,36,0,1132,0,5,0,1,1,3,1
2107,2,0,2597,0,36,0,0,1,0,1
2108,42,1,2597,0,1,0,0,1,3,1
2108,2,0,2601,0,37,0,0,1,0,1
2109,115,0,640,0,0,0,0,0,0,0
2109,42,1,2601,0,2,0,1,1,3,1
2109,3,0,701,0,0,0,0,0,0,0
2109,1421,0,848,0,0,0,0,0,0,0
2110,397,0,848,0,0,0,0,0,0,0
2110,13,1,848,0,0,0,0,0,0,0
2112,116,0,3758,0,0,0,0,0,0,0
2112,4,0,3758,0,0,0,0,0,0,0
2112,2,0,2746,0,38,0,0,1,0,1
2112,266,0,640,0,0,0,0,0,0,0
2113,266,0,640,0,0,0,0,0,0,0
2113,10,0,701,0,0,0,0,0,0,0
2113,42,1,2746,0,3,0,1,1,3,1
2113,2,0,2746,0,39,0,0,1,0,1
2114,42,1,2746,0,4,0,1,1,3,1
2114,14,0,1614,0,27,0,0,1,0,1
2114,267,0,708,0,0,0,0,0,0,0
2115,267,0,708,0,0,0,0,0,0,0
2115,11,0,708,0,0,0,0,0,0,0
2115,25,0,1614,0,1,0,0,1,0,1
2115,2,0,2746,0,40,0,0,1,0,1
2116,42,1,2746,0,5,0,1,1,3,1
2116,14,0,941,0,28,0,0,1,0,1
2116,2,0,2746,0,41,0,0,1,0,1
2117,42,1,2746,0,6,0,1,1,3,1
2117,954,0,3758,0,0,0,0,0,0,0
2118,954,0,3758,0,0,0,0,0,0,0
2118,58,0,3758,0,0,0,0,0,0,0
2118,14,0,1023,0,29,0,0,1,0,1
2118,955,0,3778,0,0,0,0,0,0,0
2119,955,0,3778,0,0,0,0,0,0,0
2119,59,0,3778,0,0,0,0,0,0,0
2119,1934,0,941,0,0,0,0,0,0,0
2120,910,0,941,0,0,0,0,0,0,0
2120,14,0,941,0,0,0,0,0,0,0
2121,14,0,1035,0,30,0,0,1,0,1
2121,2,0,332,0,42,0,0,1,0,1
2122,42,1,332,0,7,0,1,1,3,1
2122,2,0,337,0,43,0,0,1,0,1
2122,1935,0,962,0,0,0,0,0,0,0
2123,911,0,962,0,0,0,0,0,0,0
2123,15,0,1023,0,0,0,0,0,0,0
2123,43,0,337,0,2,0,0,1,3,1
2123,14,0,1078,0,31,0,0,1,0,1
2123,2,0,352,0,44,0,0,1,0,1
2123,1380,0,0,0,0,0,0,0,4,0
2124,356,0,0,0,0,0,0,0,4,0
2124,36,1,0,0,0,0,0,0,4,0
2124,43,0,352,0,3,0,1,1,3,1
2124,1936,0,1027,0,0,0,0,0,0,0
2125,912,0,1027,0,0,0,0,0,0,0
2125,16,1,1078,0,0,0,0,0,0,0
2125,14,0,1064,0,32,0,0,1,0,1
2125,2,0,1153,0,45,0,0,1,0,1
2126,16,1,1064,0,1,0,0,1,0,1
2126,36,0,1153,0,6,0,1,1,3,1
2126,2,0,2864,0,46,0,0,1,0,1
2127,36,0,2864,0,7,0,1,1,3,1
2127,14,0,1064,0,33,0,0,1,0,1
2127,2,0,2866,0,47,0,0,1,0,1
2127,1937,0,1089,0,0,0,0,0,0,0
2128,913,0,1089,0,0,0,0,0,0,0
2128,17,1,1089,0,0,0,0,0,0,0
2128,16,1,1064,0,2,0,0,1,0,1
2128,17,1,1089,0,1,0,0,1,0,1
2128,36,0,2866,0,8,0,1,1,3,1
2128,2,0,2871,0,48,0,0,1,0,1
2128,115,0,0,0,0,0,0,0,4,0
2129,115,0,0,0,0,0,0,0,4,0
